data,descricao,valor,categoria
2026-05-14,EXTRA SUPER 9584,-413.39,mercado
2026-05-14,PAGAMENTO RECEBIDO 207565,293.17,transferencia
2026-05-14,PAG*ALURA,-143.21,educacao
2026-05-14,HABIBS,-26.18,alimentacao
2026-05-14,CLARO NET 743803,-287.27,contas_fixas
2026-05-15,uber* viagem 423445,-19.84,transporte
2026-05-15,PAGAMENTO RECEBIDO,314.26,transferencia
2026-05-15,REST SP,-73.1,alimentacao
2026-05-15,HOTMART*CURSO,-108.09,educacao
2026-05-15,POSTO SHELL,-4.09,transporte
2026-05-15,PAG*CARREFOUR 800596,-1439.99,mercado
2026-05-15,PAG*FARMACIA,-61.79,saude
2026-05-15,TEF IFOOD *PEDIDO,-67.63,alimentacao
2026-05-15,SALARIO,173.26,transferencia
2026-05-15,TEF CONDOMINIO 807 668614,-51.81,contas_fixas
2026-05-15,IFOOD *PEDIDO,-144.02,alimentacao
2026-05-16,PIX RECEBIDO,349.78,transferencia
2026-05-16,C*INGRESSO.COM 678481,-49.55,lazer
2026-05-16,TEF UBER,-15.37,transporte
2026-05-17,TEF SALARIO,266.26,transferencia
2026-05-17,pag*transf recebida 86912,207.95,transferencia
2026-05-17,extra super 1744,-66.82,alimentacao
2026-05-17,PIX ENVIADO 473174,-49.08,transferencia
2026-05-17,PAG*IFOOD 203768,-31.7,alimentacao
2026-05-17,TEF PIZZARIA MARIA,-44.84,alimentacao
2026-05-17,99*APP,-31.12,transporte
2026-05-18,estapar estac,-7.85,transporte
2026-05-18,IFOOD *PEDIDO,-66.74,alimentacao
2026-05-18,STEAMGAMES.COM,-97.78,lazer
2026-05-18,DROGARIA SP,-129.65,saude
2026-05-18,TEF IPTU BR 744428,-115.55,contas_fixas
2026-05-18,RAPPI*BRASIL,-49.2,contas_fixas
2026-05-19,TARIFA PACOTE,-73.34,outros
2026-05-19,PAG*SUPERM JARDINS,-80.4,mercado
2026-05-19,pag*rappi,-80.14,alimentacao
2026-05-19,DL*TED RECEBIDA 592218,561.16,transferencia
2026-05-19,PIX RECEBIDO,266.56,transferencia
2026-05-20,iof,-24.16,outros
2026-05-20,PAG*BAR BR 397293,-61.08,lazer
2026-05-20,REST SILVA,-34.26,alimentacao
2026-05-20,COMPRA SABESP 584517,-84.51,contas_fixas
2026-05-20,SPOTIFY 9058,-51.23,lazer
2026-05-21,ALUGUEL COMERCIO,-86.18,contas_fixas
2026-05-21,pao de acucar 415210,-140.75,mercado
2026-05-21,ESTAPAR ESTAC,-5.18,transporte
2026-05-21,EXTRA SUPER 2539,-117.49,mercado
2026-05-21,TED RECEBIDA,204.92,transferencia
2026-05-22,99*APP,-10.11,transporte
2026-05-22,PAG*CARREFOUR 61397,-232.8,mercado
2026-05-22,TEF PIZZARIA BR,-76.2,alimentacao
2026-05-22,BK BRASIL 8824 525466,-64.47,alimentacao
2026-05-22,enel distrib,-112.18,contas_fixas
2026-05-22,UBER* VIAGEM,-6.25,transporte
2026-05-23,TED ENVIADA,-321.15,transferencia
2026-05-23,PAO DE ACUCAR,-95.75,mercado
2026-05-23,PLAYSTATION NET 878535,-21.45,lazer
2026-05-23,POSTO SHELL 764835,-35.56,transporte
2026-05-24,SUPERM CENTRO,-148.9,mercado
2026-05-24,PAG*ENEL SP,-213.27,contas_fixas
2026-05-24,CLARO NET,-227.84,contas_fixas
2026-05-24,disney plus,-31.53,lazer
2026-05-25,EXTRA SUPER 5026,-240.32,mercado
2026-05-25,C*RECARGA BU 4257 594656,-52.73,transporte
2026-05-25,PAG*ESCOLA,-122.03,educacao
2026-05-26,TEF ZE DELIVERY 500697,-58.87,alimentacao
2026-05-26,CARREFOUR 1486,-167.51,mercado
2026-05-26,PAG*RAPPI,-32.13,alimentacao
2026-05-26,POSTO IPIRANGA,-24.87,transporte
2026-05-27,tef uber,-16.91,transporte
2026-05-27,PAG BOLETO,-39.84,outros
2026-05-27,netflix.com,-26.1,lazer
2026-05-27,EXTRA SUPER 5285,-67.9,mercado
2026-05-27,C*HABIBS,-43.26,alimentacao
2026-05-27,99*APP,-108.28,transporte
2026-05-27,99*APP 736031,-30.96,transporte
2026-05-27,tef uber,-30.33,transporte
2026-05-28,compra ifood *pedido 326613,-15.29,alimentacao
2026-05-28,SACOLAO SP,-49.02,mercado
2026-05-28,TRANSF RECEBIDA,300.61,transferencia
2026-05-29,PAG*IFOOD,-27.9,alimentacao
2026-05-29,TEF CLINICA BR 575211,-45.35,saude
2026-05-29,PAG*BAR COMERCIO,-39.37,lazer
2026-05-29,UBER *EATS,-35.66,alimentacao
2026-05-29,estapar estac 161634,-262.4,transporte
2026-05-29,PAG*BAR CENTRO,-24.26,lazer
2026-05-30,PIX*RJ,-333.75,transferencia
2026-05-30,pag*ifood,-31.1,alimentacao
2026-05-30,PAGAMENTO RECEBIDO 26445,102.23,transferencia
2026-05-30,PAG*RAPPI 687564,-29.99,alimentacao
2026-05-30,TEF TED ENVIADA,-714.05,transferencia
2026-05-30,RAIA DROGASIL,-71.5,saude
2026-05-30,SACOLAO JARDINS 203229,-114.48,mercado
2026-05-30,ATACADAO 4701,-79.58,mercado
2026-05-30,COMPRA ESTAPAR ESTAC,-31.99,transporte
2026-05-31,ifd*ifood,-29.49,alimentacao
2026-05-31,PAO DE ACUCAR 531339,-136.98,mercado
2026-05-31,UBER* VIAGEM,-10.86,transporte
2026-05-31,99pop 9305,-71.24,transporte
2026-05-31,UNIMED 80031,-32.24,saude
2026-05-31,TRANSF RECEBIDA,152.43,transferencia
